ID,Edad,Tipo_Trabajo,Estado_Civil,Educacion,mora,Vivienda,Consumo,Contacto,Mes,Dia,Campana,Dias_Ultima_Camp,No_Contactos,Resultado_Anterior,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
1,57,servicios,casado,bachillerato,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
2,37,servicios,casado,bachillerato,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
3,40,administrador negocio,casado,primaria,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
4,56,servicios,casado,bachillerato,no,no,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
7,25,servicios,single,bachillerato,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
8,41,empleado,casado,unknown,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
9,25,servicios,single,bachillerato,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
10,29,empleado,single,bachillerato,no,no,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
12,35,empleado,casado,primaria,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
14,46,empleado,casado,primaria,unknown,si,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
15,50,empleado,casado,bachillerato incompleto,no,si,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
17,55,pensionado,single,bachillerato,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
19,37,administrador negocio,casado,bachillerato,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
20,35,tecnico,casado,pregrado,no,no,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
